"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 15 14:04:31 GMT 2021","Sun Aug 15 14:04:37 GMT 2021","5986","pytests","test_new_post","","","","test_new_posts",""
"broken","Sun Aug 15 14:04:25 GMT 2021","Sun Aug 15 14:04:30 GMT 2021","4556","pytests","test_blog_change","","","","test_blog_change",""
"passed","Sun Aug 15 14:04:30 GMT 2021","Sun Aug 15 14:04:30 GMT 2021","0","pytests","test_conduit_cookie","","","","test_conduit_cookie",""
"broken","Sun Aug 15 14:04:30 GMT 2021","Sun Aug 15 14:04:31 GMT 2021","1185","pytests","test_delete_blog","","","","test_delete_blog",""
