"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 16:07:59 GMT 2021","Mon Aug 16 16:07:59 GMT 2021","0","pytests","test_conduit_cookie_TC03","","","","test_conduit_cookie",""
"passed","Mon Aug 16 16:08:04 GMT 2021","Mon Aug 16 16:08:11 GMT 2021","6760","pytests","test_data_list_TC04","","","","test_data_list",""
"passed","Mon Aug 16 16:08:11 GMT 2021","Mon Aug 16 16:08:16 GMT 2021","4662","pytests","test_delete_blogpost_TC07","","","","test_delete_blog",""
"passed","Mon Aug 16 16:08:24 GMT 2021","Mon Aug 16 16:08:28 GMT 2021","4603","pytests","test_pagination_TC08","","","","test_pagination",""
"passed","Mon Aug 16 16:08:28 GMT 2021","Mon Aug 16 16:08:35 GMT 2021","6637","pytests","test_registration_TC01","","","","test_login",""
"passed","Mon Aug 16 16:08:19 GMT 2021","Mon Aug 16 16:08:24 GMT 2021","4599","pytests","test_new_post_TC05","","","","test_new_posts",""
"passed","Mon Aug 16 16:07:59 GMT 2021","Mon Aug 16 16:08:04 GMT 2021","5492","pytests","test_data_change_TC06","","","","test_data_change",""
"passed","Mon Aug 16 16:08:16 GMT 2021","Mon Aug 16 16:08:19 GMT 2021","3587","pytests","test_logout_TC09","","","","test_logout",""
