"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 21:28:57 GMT 2021","Sun Aug 15 21:29:03 GMT 2021","6603","pytests","test_sign_up","","","","test_login",""
"passed","Sun Aug 15 21:28:48 GMT 2021","Sun Aug 15 21:28:52 GMT 2021","4584","pytests","test_logout","","","","test_logout",""
"passed","Sun Aug 15 21:28:44 GMT 2021","Sun Aug 15 21:28:48 GMT 2021","3623","pytests","test_delete_blogpost","","","","test_delete_blog",""
"passed","Sun Aug 15 21:28:37 GMT 2021","Sun Aug 15 21:28:44 GMT 2021","6666","pytests","test_data_list_TC04","","","","test_logout",""
"passed","Sun Aug 15 21:28:26 GMT 2021","Sun Aug 15 21:28:26 GMT 2021","0","pytests","test_conduit_cookie","","","","test_conduit_cookie",""
"passed","Sun Aug 15 21:28:26 GMT 2021","Sun Aug 15 21:28:37 GMT 2021","11019","pytests","test_data_change","","","","test_data_change",""
"passed","Sun Aug 15 21:28:52 GMT 2021","Sun Aug 15 21:28:57 GMT 2021","4580","pytests","test_new_post","","","","test_new_posts",""
