"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 20:45:04 GMT 2021","Sun Aug 15 20:45:09 GMT 2021","5564","pytests","test_sign_up","","","","test_login",""
"passed","Sun Aug 15 20:44:59 GMT 2021","Sun Aug 15 20:45:04 GMT 2021","4628","pytests","test_new_post","","","","test_new_posts",""
"passed","Sun Aug 15 20:44:51 GMT 2021","Sun Aug 15 20:44:51 GMT 2021","0","pytests","test_conduit_cookie","","","","test_conduit_cookie",""
"passed","Sun Aug 15 20:44:51 GMT 2021","Sun Aug 15 20:44:57 GMT 2021","6079","pytests","test_data_change","","","","test_data_change",""
"broken","Sun Aug 15 20:44:57 GMT 2021","Sun Aug 15 20:44:59 GMT 2021","1763","pytests","test_delete_blogpost","","","","test_delete_blog",""
