"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 20:36:42 GMT 2021","Sun Aug 15 20:36:58 GMT 2021","15895","pytests","test_data_change","","","","test_data_change",""
"passed","Sun Aug 15 20:37:00 GMT 2021","Sun Aug 15 20:37:05 GMT 2021","4517","pytests","test_new_post","","","","test_new_posts",""
"broken","Sun Aug 15 20:36:58 GMT 2021","Sun Aug 15 20:37:00 GMT 2021","2278","pytests","test_delete_blogpost","","","","test_delete_blog",""
"broken","Sun Aug 15 20:37:05 GMT 2021","Sun Aug 15 20:37:05 GMT 2021","184","pytests","test_sign_up","","","","test_login",""
"passed","Sun Aug 15 20:36:42 GMT 2021","Sun Aug 15 20:36:42 GMT 2021","0","pytests","test_conduit_cookie","","","","test_conduit_cookie",""
