"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 16:58:45 GMT 2021","Sun Aug 15 16:58:45 GMT 2021","0","pytests","test_conduit_cookie","","","","test_conduit_cookie",""
"broken","Sun Aug 15 16:58:45 GMT 2021","Sun Aug 15 16:58:46 GMT 2021","1182","pytests","test_delete_blogpost","","","","test_delete_blog",""
"broken","Sun Aug 15 16:58:52 GMT 2021","Sun Aug 15 16:58:54 GMT 2021","1179","pytests","test_sign_up","","","","test_login",""
"broken","Sun Aug 15 16:58:37 GMT 2021","Sun Aug 15 16:58:45 GMT 2021","7032","pytests","test_blog_change","","","","test_blog_change",""
"broken","Sun Aug 15 16:58:46 GMT 2021","Sun Aug 15 16:58:52 GMT 2021","6524","pytests","test_new_post","","","","test_new_posts",""
