"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 20:53:36 GMT 2021","Sun Aug 15 20:53:40 GMT 2021","3871","pytests","test_new_post","","","","test_new_posts",""
"passed","Sun Aug 15 20:53:23 GMT 2021","Sun Aug 15 20:53:23 GMT 2021","0","pytests","test_conduit_cookie","","","","test_conduit_cookie",""
"passed","Sun Aug 15 20:53:32 GMT 2021","Sun Aug 15 20:53:36 GMT 2021","4674","pytests","test_delete_blogpost","","","","test_delete_blog",""
"passed","Sun Aug 15 20:53:40 GMT 2021","Sun Aug 15 20:53:47 GMT 2021","6587","pytests","test_sign_up","","","","test_login",""
"passed","Sun Aug 15 20:53:23 GMT 2021","Sun Aug 15 20:53:32 GMT 2021","8762","pytests","test_data_change","","","","test_data_change",""
