"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 15 16:56:16 GMT 2021","Sun Aug 15 16:56:19 GMT 2021","2928","pytests","test_blog_change","","","","test_blog_change",""
"passed","Sun Aug 15 16:56:19 GMT 2021","Sun Aug 15 16:56:19 GMT 2021","0","pytests","test_conduit_cookie","","","","test_conduit_cookie",""
"broken","Sun Aug 15 16:56:20 GMT 2021","Sun Aug 15 16:56:24 GMT 2021","3817","pytests","test_new_post","","","","test_new_posts",""
"broken","Sun Aug 15 16:56:20 GMT 2021","Sun Aug 15 16:56:20 GMT 2021","193","pytests","test_delete_blogpost","","","","test_delete_blog",""
"broken","Sun Aug 15 16:56:19 GMT 2021","Sun Aug 15 16:56:20 GMT 2021","258","pytests","test_delete_blog","","","","test_delete_blog",""
"broken","Sun Aug 15 16:56:24 GMT 2021","Sun Aug 15 16:56:25 GMT 2021","1179","pytests","test_sign_up","","","","test_login",""
