"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 15 10:34:59 GMT 2021","Sun Aug 15 10:35:03 GMT 2021","3106","pytests","test_delete_blog","","","","test_delete_blog",""
"passed","Sun Aug 15 10:34:59 GMT 2021","Sun Aug 15 10:34:59 GMT 2021","0","pytests","test_conduit_cookie","","","","test_conduit_cookie",""
"passed","Sun Aug 15 10:35:03 GMT 2021","Sun Aug 15 10:35:20 GMT 2021","17496","pytests","test_new_post","","","","test_new_post",""
