"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 14:34:37 GMT 2021","Mon Aug 16 14:34:37 GMT 2021","0","pytests","test_conduit_cookie_TC03","","","","test_conduit_cookie",""
"passed","Mon Aug 16 14:35:14 GMT 2021","Mon Aug 16 14:35:20 GMT 2021","5606","pytests","test_registration_TC01","","","","test_login",""
"passed","Mon Aug 16 14:34:37 GMT 2021","Mon Aug 16 14:34:49 GMT 2021","12383","pytests","test_data_change_TC06","","","","test_data_change",""
"passed","Mon Aug 16 14:35:06 GMT 2021","Mon Aug 16 14:35:10 GMT 2021","3717","pytests","test_new_post_TC05","","","","test_new_posts",""
"passed","Mon Aug 16 14:34:57 GMT 2021","Mon Aug 16 14:35:01 GMT 2021","4610","pytests","test_delete_blogpost_TC07","","","","test_delete_blog",""
"passed","Mon Aug 16 14:35:01 GMT 2021","Mon Aug 16 14:35:06 GMT 2021","4582","pytests","test_logout_TC09","","","","test_logout",""
"passed","Mon Aug 16 14:34:49 GMT 2021","Mon Aug 16 14:34:57 GMT 2021","7712","pytests","test_data_list_TC04","","","","test_data_list",""
"passed","Mon Aug 16 14:35:10 GMT 2021","Mon Aug 16 14:35:14 GMT 2021","4614","pytests","test_pagination_TC08","","","","test_pagination",""
