"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 11:25:04 GMT 2021","Mon Aug 16 11:25:12 GMT 2021","8046","pytests","test_data_list_TC04","","","","test_logout",""
"passed","Mon Aug 16 11:25:16 GMT 2021","Mon Aug 16 11:25:21 GMT 2021","4957","pytests","test_logout_TC09","","","","test_logout",""
"passed","Mon Aug 16 11:24:55 GMT 2021","Mon Aug 16 11:24:55 GMT 2021","1","pytests","test_conduit_cookie_TC03","","","","test_conduit_cookie",""
"passed","Mon Aug 16 11:24:55 GMT 2021","Mon Aug 16 11:25:04 GMT 2021","8936","pytests","test_data_change_TC06","","","","test_data_change",""
"passed","Mon Aug 16 11:25:25 GMT 2021","Mon Aug 16 11:25:32 GMT 2021","6956","pytests","test_registration_TC01","","","","test_login",""
"passed","Mon Aug 16 11:25:12 GMT 2021","Mon Aug 16 11:25:16 GMT 2021","3976","pytests","test_delete_blogpost_TC07","","","","test_delete_blog",""
"passed","Mon Aug 16 11:25:21 GMT 2021","Mon Aug 16 11:25:25 GMT 2021","3949","pytests","test_new_post_TC05","","","","test_new_posts",""
