"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 16:40:28 GMT 2021","Mon Aug 16 16:40:32 GMT 2021","4527","pytests","test_delete_blogpost_TC07","","","","test_delete_blog",""
"passed","Mon Aug 16 16:40:41 GMT 2021","Mon Aug 16 16:40:46 GMT 2021","4538","pytests","test_pagination_TC08","","","","test_pagination",""
"passed","Mon Aug 16 16:40:37 GMT 2021","Mon Aug 16 16:40:41 GMT 2021","4516","pytests","test_new_post_TC05","","","","test_new_posts",""
"passed","Mon Aug 16 16:40:15 GMT 2021","Mon Aug 16 16:40:20 GMT 2021","5347","pytests","test_data_change_TC06","","","","test_data_change",""
"passed","Mon Aug 16 16:40:15 GMT 2021","Mon Aug 16 16:40:15 GMT 2021","1","pytests","test_conduit_cookie_TC03","","","","test_conduit_cookie",""
"passed","Mon Aug 16 16:40:20 GMT 2021","Mon Aug 16 16:40:28 GMT 2021","7583","pytests","test_data_list_TC04","","","","test_data_list",""
"passed","Mon Aug 16 16:40:46 GMT 2021","Mon Aug 16 16:40:52 GMT 2021","6509","pytests","test_registration_TC01","","","","test_login",""
"passed","Mon Aug 16 16:40:32 GMT 2021","Mon Aug 16 16:40:37 GMT 2021","4540","pytests","test_logout_TC09","","","","test_logout",""
