"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 16:17:22 GMT 2021","Mon Aug 16 16:17:27 GMT 2021","4591","pytests","test_logout_TC09","","","","test_logout",""
"passed","Mon Aug 16 16:17:02 GMT 2021","Mon Aug 16 16:17:02 GMT 2021","1","pytests","test_conduit_cookie_TC03","","","","test_conduit_cookie",""
"passed","Mon Aug 16 16:17:32 GMT 2021","Mon Aug 16 16:17:36 GMT 2021","4600","pytests","test_pagination_TC08","","","","test_pagination",""
"passed","Mon Aug 16 16:17:27 GMT 2021","Mon Aug 16 16:17:32 GMT 2021","4553","pytests","test_new_post_TC05","","","","test_new_posts",""
"passed","Mon Aug 16 16:17:18 GMT 2021","Mon Aug 16 16:17:22 GMT 2021","4606","pytests","test_delete_blogpost_TC07","","","","test_delete_blog",""
"passed","Mon Aug 16 16:17:02 GMT 2021","Mon Aug 16 16:17:11 GMT 2021","9000","pytests","test_data_change_TC06","","","","test_data_change",""
"passed","Mon Aug 16 16:17:11 GMT 2021","Mon Aug 16 16:17:18 GMT 2021","7156","pytests","test_data_list_TC04","","","","test_data_list",""
"passed","Mon Aug 16 16:17:36 GMT 2021","Mon Aug 16 16:17:43 GMT 2021","6554","pytests","test_registration_TC01","","","","test_login",""
