"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 20:49:00 GMT 2021","Sun Aug 15 20:49:05 GMT 2021","4614","pytests","test_delete_blogpost","","","","test_delete_blog",""
"passed","Sun Aug 15 20:48:47 GMT 2021","Sun Aug 15 20:48:47 GMT 2021","0","pytests","test_conduit_cookie","","","","test_conduit_cookie",""
"passed","Sun Aug 15 20:49:05 GMT 2021","Sun Aug 15 20:49:09 GMT 2021","4633","pytests","test_new_post","","","","test_new_posts",""
"passed","Sun Aug 15 20:48:47 GMT 2021","Sun Aug 15 20:49:00 GMT 2021","13374","pytests","test_data_change","","","","test_data_change",""
"passed","Sun Aug 15 20:49:09 GMT 2021","Sun Aug 15 20:49:16 GMT 2021","6605","pytests","test_sign_up","","","","test_login",""
