"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 22:39:56 GMT 2021","Sun Aug 15 22:39:56 GMT 2021","0","pytests","test_conduit_cookie_TC03","","","","test_conduit_cookie",""
"passed","Sun Aug 15 22:40:09 GMT 2021","Sun Aug 15 22:40:13 GMT 2021","4584","pytests","test_delete_blogpost_TC07","","","","test_delete_blog",""
"passed","Sun Aug 15 22:40:18 GMT 2021","Sun Aug 15 22:40:23 GMT 2021","4539","pytests","test_new_post_TC05","","","","test_new_posts",""
"passed","Sun Aug 15 22:40:13 GMT 2021","Sun Aug 15 22:40:18 GMT 2021","4553","pytests","test_logout_TC09","","","","test_logout",""
"passed","Sun Aug 15 22:40:01 GMT 2021","Sun Aug 15 22:40:09 GMT 2021","7556","pytests","test_data_list_TC04","","","","test_logout",""
"passed","Sun Aug 15 22:40:23 GMT 2021","Sun Aug 15 22:40:28 GMT 2021","5537","pytests","test_registration_TC01","","","","test_login",""
"passed","Sun Aug 15 22:39:56 GMT 2021","Sun Aug 15 22:40:01 GMT 2021","5799","pytests","test_data_change_TC06","","","","test_data_change",""
