"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 15 19:23:28 GMT 2021","Sun Aug 15 19:23:29 GMT 2021","199","pytests","test_sign_up","","","","test_login",""
"broken","Sun Aug 15 19:23:19 GMT 2021","Sun Aug 15 19:23:20 GMT 2021","1198","pytests","test_delete_blogpost","","","","test_delete_blog",""
"broken","Sun Aug 15 19:23:11 GMT 2021","Sun Aug 15 19:23:19 GMT 2021","7682","pytests","test_blog_change","","","","test_blog_change",""
"passed","Sun Aug 15 19:23:19 GMT 2021","Sun Aug 15 19:23:19 GMT 2021","0","pytests","test_conduit_cookie","","","","test_conduit_cookie",""
"passed","Sun Aug 15 19:23:20 GMT 2021","Sun Aug 15 19:23:28 GMT 2021","8119","pytests","test_new_post","","","","test_new_posts",""
