"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 21:30:29 GMT 2021","Fri Aug 13 21:30:45 GMT 2021","16027","pytests","test_new_post","","","","test_new_post",""
"passed","Fri Aug 13 21:30:27 GMT 2021","Fri Aug 13 21:30:27 GMT 2021","1","pytests","test_conduit_cookie","","","","test_conduit_cookie",""
"broken","Fri Aug 13 21:30:27 GMT 2021","Fri Aug 13 21:30:29 GMT 2021","2296","pytests","test_delete_blog","","","","test_delete_blog",""
